date,open,high,low,close,volume,pct_chg
1990-01-01,995.24,995.24,976.22,977.34,15.18,-2.27
2005-01-04,995.24,995.24,976.22,977.34,15.18,-2.27
2005-01-05,976.16,995.96,976.16,993.19,13.42,1.62
2005-01-06,992.2,993.84,982.7,986.25,13.67,-0.7
2005-01-07,985.42,1001.03,983.51,991.7,12.15,0.55
2005-01-10,991.29,997.7,987.91,997.7,9.54,0.61
2005-01-11,997.7,1002.35,993.93,1000.48,17.39,0.28
2005-01-12,999.4,1001.37,992.66,1001.37,24.62,0.09
2005-01-13,1001.45,1002.29,996.46,1002.06,26.73,0.07
2005-01-14,1002.52,1006.31,987.66,987.84,22.44,-1.42
2005-01-17,979.53,979.53,960.07,963.01,18.56,-2.51
2005-01-18,965.09,983.96,965.09,983.96,31.58,2.18
2005-01-19,986.75,986.75,964.47,966.33,23.04,-1.79
2005-01-20,962.44,962.44,944.65,954.93,25.44,-1.18
2005-01-21,949.26,968.64,933.34,968.64,51.81,1.44
2005-01-24,980.69,988.02,978.46,987.24,48.08,1.92
2005-01-25,985.12,985.12,967.88,975.1,34.94,-1.23
2005-01-26,971.35,971.35,961.65,961.8,18.44,-1.36
2005-01-27,961.11,961.11,940.76,940.76,23.49,-2.19
2005-01-28,940.76,940.76,922.64,923.75,19.33,-1.81
2005-01-31,919.22,919.22,893.22,894.32,21.48,-3.19
2005-02-01,892.06,902.54,883.64,884.63,15.7,-1.08
2005-02-02,884.28,936.42,884.28,936.42,29.55,5.85
2005-02-03,934.62,937.57,914.26,914.26,23.92,-2.37
2005-02-04,915.52,936.54,915.52,934.52,25.07,2.22
2005-02-16,936.93,955.1,936.21,949.83,24.6,1.64
2005-02-17,948.8,955.47,940.43,955.47,18.35,0.59
2005-02-18,955.48,955.48,942.38,943.2,18.61,-1.28
2005-02-21,940.18,955.26,937.25,955.26,25.56,1.28
2005-02-22,955.61,983.41,954.27,983.36,50.15,2.94
2005-02-23,983.15,1001.01,978.68,998.21,56.93,1.51
2005-02-24,998.39,1005.11,992.42,1005.11,70.08,0.69
2005-02-25,1005.54,1015.72,1005.31,1005.85,67.56,0.07
2005-02-28,1005.25,1009.41,1000.24,1004.62,47.63,-0.12
2005-03-01,1003.33,1003.99,993.42,1000.68,34.11,-0.39
2005-03-02,1000.36,1005.6,984.19,985.07,36.98,-1.56
2005-03-03,983.03,991.65,976.52,991.65,28.0,0.67
2005-03-04,991.68,993.42,984.99,985.23,25.12,-0.65
2005-03-07,986.78,989.28,983.01,987.82,36.55,0.26
2005-03-08,988.71,1015.98,988.71,1015.86,60.15,2.84
2005-03-09,1018.88,1032.93,1017.67,1032.62,94.98,1.65
2005-03-10,1030.48,1030.48,999.61,1001.63,68.54,-3.0
2005-03-11,999.87,1006.17,996.89,1005.42,39.9,0.38
2005-03-14,1005.19,1009.87,988.46,1000.86,49.13,-0.45
2005-03-15,1000.35,1002.82,987.64,989.39,49.16,-1.15
2005-03-16,986.66,989.22,977.44,979.54,43.89,-1.0
2005-03-17,977.24,978.7,965.88,966.32,42.02,-1.35
2005-03-18,964.97,970.66,945.56,950.54,34.32,-1.63
2005-03-21,952.64,959.34,947.54,955.88,27.0,0.56
2005-03-22,956.93,956.93,923.51,924.95,40.65,-3.24
2005-03-23,923.1,944.65,916.99,927.75,36.92,0.3
2005-03-24,927.1,936.61,917.44,936.61,27.9,0.96
2005-03-25,937.67,944.08,935.47,940.95,36.27,0.46
2005-03-28,940.69,940.69,921.97,934.75,36.01,-0.66
2005-03-29,933.92,941.0,922.14,922.55,31.35,-1.31
2005-03-30,919.51,919.51,886.44,886.67,35.96,-3.89
2005-03-31,884.16,895.1,881.15,895.1,27.5,0.95
2005-04-01,894.68,935.7,882.31,928.3,49.05,3.71
2005-04-04,919.05,921.27,907.11,911.17,32.12,-1.85
2005-04-05,909.07,913.28,902.69,903.41,29.46,-0.85
2005-04-06,903.41,919.1,894.85,915.59,33.52,1.35
2005-04-07,917.4,942.72,915.17,931.12,56.83,1.7
2005-04-08,928.61,944.76,923.67,944.76,39.93,1.46
2005-04-11,943.95,951.01,937.2,941.72,39.75,-0.32
