date,close_monthly
2017-08-31,26.24
2017-09-30,21.73
2017-10-31,19.79
2017-11-30,16.08
2017-12-31,15.98
2018-01-31,18.25
2018-02-28,15.14
2018-03-31,18.74
2018-04-30,17.76
2018-05-31,16.37
2018-06-30,13.39
2018-07-31,12.84
2018-08-31,10.22
2018-09-30,9.19
2018-10-31,8.02
2018-11-30,7.99
2018-12-31,7.48
2019-01-31,6.86
2019-02-28,8.24
2019-03-31,10.5
2019-04-30,10.29
2019-05-31,8.22
2019-06-30,8.98
2019-07-31,9.33
2019-08-31,8.38
2019-09-30,8.85
2019-10-31,9.76
2019-11-30,9.25
2019-12-31,8.35
2020-01-31,8.96
2020-02-29,9.25
2020-03-31,12.55
2020-04-30,8.29
2020-05-31,8.16
2020-06-30,9.39
2020-07-31,10.77
2020-08-31,10.31
2020-09-30,14.32
2020-10-31,16.32
2020-11-30,11.12
2020-12-31,9.63
2021-01-31,7.34
2021-02-28,9.05
2021-03-31,10.38
2021-04-30,8.55
2021-05-31,5.01
2021-06-30,5.59
2021-07-31,4.71
2021-08-31,5.05
2021-09-30,4.75
2021-10-31,5.75
2021-11-30,6.0
2021-12-31,5.71
2022-01-31,5.01
2022-02-28,5.28
2022-03-31,4.39
2022-04-30,3.72
2022-05-31,3.96
2022-06-30,3.84
2022-07-31,3.87
2022-08-31,4.26
2022-09-30,3.94
2022-10-31,3.32
2022-11-30,4.05
2022-12-31,3.59
2023-01-31,3.44
2023-02-28,3.2
2023-03-31,3.06
2023-04-30,3.01
2023-05-31,2.69
2023-06-30,2.62
2023-07-31,2.65
2023-08-31,2.6
2023-09-30,2.6
2023-10-31,2.37
2023-11-30,2.42
2023-12-31,2.33
2024-01-31,1.75
2024-02-29,1.62
2024-03-31,1.57
2024-04-30,1.7
2024-05-31,1.96
2024-06-30,1.98
2024-07-31,1.98
2024-08-31,1.96
2024-09-30,2.19
2024-10-31,2.15
2024-11-30,2.41
2024-12-31,2.65
2025-01-31,2.3
2025-02-28,2.25
2025-03-31,2.32
2025-04-30,2.45
2025-05-31,3.13
2025-06-30,3.64
2025-07-31,2.92
2025-08-31,2.62
2025-09-30,2.66
2025-10-31,2.35
2025-11-30,2.78
2025-12-31,2.68
2026-01-31,2.85
2026-02-28,3.71
2026-03-31,4.02
2026-04-30,4.51
2026-05-31,5.01
