exchange,code,name,list_date,status
SZ,000001,平安银行,1991-04-03,在市
SZ,000002,万  科Ａ,1991-01-29,在市
SZ,000003,PT金田Ａ,1991-01-14,退市
SZ,000004,*ST国华,1990-12-01,在市
SZ,000005,ST星源,1990-12-10,退市
SZ,000006,深振业Ａ,1992-04-27,在市
SZ,000007,全新好,1992-04-13,在市
SZ,000008,神州高铁,1992-05-07,在市
SZ,000009,中国宝安,1991-06-25,在市
SZ,000010,*ST美丽,1995-10-27,在市
SZ,000011,深物业A,1992-03-30,在市
SZ,000012,南  玻Ａ,1992-02-28,在市
SZ,000013,*ST石化A,1992-05-06,退市
SZ,000014,沙河股份,1992-06-02,在市
SZ,000015,PT中浩Ａ,1992-06-25,退市
SZ,000016,*ST康佳A,1992-03-27,在市
SZ,000017,深中华A,1992-03-31,在市
SZ,000018,神城A退,1992-06-16,退市
SZ,000019,深粮控股,1992-10-12,在市
SZ,000020,深华发Ａ,1992-04-28,在市
SZ,000021,深科技,1994-02-02,在市
SZ,000023,*ST深天,1993-04-29,退市
SZ,000024,招商地产,1993-06-07,退市
SZ,000025,特  力Ａ,1993-06-21,在市
SZ,000026,飞亚达,1993-06-03,在市
SZ,000027,深圳能源,1993-09-03,在市
SZ,000028,国药一致,1993-08-09,在市
SZ,000029,深深房Ａ,1993-09-15,在市
SZ,000030,富奥股份,1993-09-29,在市
SZ,000031,大悦城,1993-10-08,在市
SZ,000032,深桑达Ａ,1993-10-28,在市
SZ,000033,新都退,1994-01-03,退市
SZ,000034,神州数码,1994-05-09,在市
SZ,000035,中国天楹,1994-04-08,在市
SZ,000036,华联控股,1994-06-17,在市
SZ,000037,深南电A,1994-07-01,在市
SZ,000038,大通退,1994-08-08,退市
SZ,000039,中集集团,1994-04-08,在市
SZ,000040,*ST旭蓝,1994-08-08,退市
SZ,000042,中洲控股,1994-09-21,在市
SZ,000045,深纺织Ａ,1994-08-15,在市
SZ,000046,*ST泛海,1994-09-12,退市
SZ,000047,ST 中 侨,1994-10-21,退市
SZ,000048,京基智农,1994-11-01,在市
SZ,000049,德赛电池,1995-03-20,在市
SZ,000050,深天马Ａ,1995-03-15,在市
SZ,000055,方大集团,1996-04-15,在市
SZ,000056,*ST皇庭,1996-07-08,在市
SZ,000058,深 赛 格,1996-12-26,在市
SZ,000059,华锦股份,1997-01-30,在市
SZ,000060,中金岭南,1997-01-23,在市
SZ,000061,农 产 品,1997-01-10,在市
SZ,000062,深圳华强,1997-01-30,在市
SZ,000063,中兴通讯,1997-11-18,在市
SZ,000065,北方国际,1998-06-05,在市
SZ,000066,中国长城,1997-06-26,在市
SZ,000068,华控赛格,1997-06-11,在市
SZ,000069,华侨城Ａ,1997-09-10,在市
