exchange,证券代码,证券简称,总股本,流通股本,上市日期,所属行业,地区,报告日期,board
BJ,920000,安徽凤凰,91680000,57593925,2020-12-23,汽车制造业,安徽省,2026-05-11,北交所
BJ,920001,纬达光电,153656204,88691020,2022-12-27,计算机、通信和其他电子设备制造业,广东省,2026-05-11,北交所
BJ,920002,万达轴承,45502968,31855109,2024-05-30,通用设备制造业,江苏省,2026-05-11,北交所
BJ,920003,中诚咨询,64714286,13314586,2025-11-07,专业技术服务业,江苏省,2026-05-11,北交所
BJ,920005,鼎佳精密,83000000,21500000,2025-07-31,计算机、通信和其他电子设备制造业,江苏省,2026-05-11,北交所
BJ,920006,晟楠科技,90287200,47797112,2023-05-18,铁路、船舶、航空航天和其他运输设备制造业,江苏省,2026-05-11,北交所
BJ,920007,酉立智能,44432450,10642850,2025-08-08,金属制品业,江苏省,2026-05-11,北交所
BJ,920008,成电光信,63750000,34020721,2024-08-29,计算机、通信和其他电子设备制造业,四川省,2026-05-11,北交所
BJ,920009,丹娜生物,55390000,7200000,2025-11-03,医药制造业,天津市,2026-05-11,北交所
BJ,920010,凯添燃气,234500000,173497853,2020-07-27,燃气生产和供应业,宁夏回族自治区,2026-05-11,北交所
BJ,920011,晨光电机,82666667,18600001,2026-04-08,电气机械和器材制造业,浙江省,2026-05-11,北交所
BJ,920012,创达新材,49317380,13268667,2026-04-13,计算机、通信和其他电子设备制造业,江苏省,2026-05-11,北交所
BJ,920014,特瑞斯,121856743,67047298,2022-12-13,专用设备制造业,江苏省,2026-05-11,北交所
BJ,920015,锦华新材,135566667,40012440,2025-09-25,化学原料和化学制品制造业,浙江省,2026-05-11,北交所
BJ,920016,中草香料,76981929,34237218,2024-09-13,化学原料和化学制品制造业,安徽省,2026-05-11,北交所
BJ,920017,星昊医药,124832280,123509680,2023-05-31,医药制造业,北京市,2026-05-11,北交所
BJ,920018,宏远股份,127329564,44223800,2025-08-20,电气机械和器材制造业,辽宁省,2026-05-11,北交所
BJ,920019,铜冠矿建,210266700,167535666,2024-10-11,开采专业及辅助性活动,安徽省,2026-05-11,北交所
BJ,920020,泰凯英,224945000,55100901,2025-10-28,橡胶和塑料制品业,山东省,2026-05-11,北交所
BJ,920021,流金科技,308999983,247554673,2020-07-27,电信、广播电视和卫星传输服务,北京市,2026-05-11,北交所
BJ,920022,世昌股份,60321000,16615000,2025-09-19,汽车制造业,河北省,2026-05-11,北交所
BJ,920023,*ST田野,327304000,268808530,2023-02-02,酒、饮料和精制茶制造业,广西壮族自治区,2026-05-11,北交所
BJ,920026,卓兆点胶,82077246,61872955,2023-10-19,专用设备制造业,江苏省,2026-05-11,北交所
BJ,920027,交大铁发,79203500,42203500,2025-06-10,铁路、船舶、航空航天和其他运输设备制造业,四川省,2026-05-11,北交所
BJ,920028,新恒泰,164360000,64959600,2026-03-20,橡胶和塑料制品业,浙江省,2026-05-11,北交所
BJ,920029,开发科技,138886667,135144167,2025-03-28,仪器仪表制造业,四川省,2026-05-11,北交所
BJ,920030,德众汽车,178839681,112474041,2020-11-27,零售业,湖南省,2026-05-11,北交所
BJ,920033,康普化学,119135250,82760958,2022-12-21,化学原料和化学制品制造业,重庆市,2026-05-11,北交所
BJ,920035,精创电气,69420000,15616800,2025-12-02,仪器仪表制造业,江苏省,2026-05-11,北交所
BJ,920036,觅睿科技,54421827,13061277,2026-03-09,计算机、通信和其他电子设备制造业,浙江省,2026-05-11,北交所
