exchange,code,name,list_date,delist_date,status
SZ,000003,PT金田Ａ,1991-01-14,2002-06-14,退市
SZ,000005,ST星源,1990-12-10,2024-04-26,退市
SZ,000013,*ST石化A,1992-05-06,2004-09-20,退市
SZ,000015,PT中浩Ａ,1992-06-25,2001-10-25,退市
SZ,000018,神城A退,1992-06-16,2020-01-07,退市
SZ,000023,*ST深天,1993-04-29,2024-09-02,退市
SZ,000024,招商地产,1993-06-07,2015-12-30,退市
SZ,000033,新都退,1994-01-03,2017-07-07,退市
SZ,000038,大通退,1994-08-08,2023-07-12,退市
SZ,000040,*ST旭蓝,1994-08-08,2025-04-30,退市
SZ,000046,*ST泛海,1994-09-12,2024-02-07,退市
SZ,000047,ST 中 侨,1994-10-21,2003-05-30,退市
SZ,000150,*ST宜康,2000-08-07,2023-06-09,退市
SZ,000405,ST 鑫 光,1996-06-20,2004-03-19,退市
SZ,000406,大明退市,1996-06-28,2006-04-21,退市
SZ,000412,ST 五 环,1996-07-15,2003-09-19,退市
SZ,000413,ST旭电,1996-09-25,2024-10-11,退市
SZ,000416,*ST民控,1996-07-19,2024-06-05,退市
SZ,000418,小天鹅Ａ,1997-03-28,2019-06-21,退市
SZ,000502,绿景退,1992-11-23,2022-06-27,退市
SZ,000508,琼民源Ａ,1993-04-30,1999-07-12,退市
SZ,000511,烯碳退,1993-05-18,2018-07-18,退市
SZ,000515,攀渝钛业,1993-07-12,2009-05-06,退市
SZ,000522,白云山Ａ,1993-11-08,2013-04-26,退市
SZ,000527,美的电器,1993-11-12,2013-09-18,退市
SZ,000535,*ST 猴王,1993-11-30,2005-09-21,退市
SZ,000540,*ST中天,1994-02-02,2023-06-30,退市
SZ,000542,TCL 通讯,1993-12-01,2004-01-13,退市
SZ,000549,S 湘火炬,1993-12-20,2007-04-27,退市
SZ,000556,PT 南 洋,1994-05-25,2002-06-03,退市
SZ,000562,宏源证券,1994-02-02,2015-01-26,退市
SZ,000569,长城股份,1994-04-25,2009-05-06,退市
SZ,000578,盐湖集团,1995-03-03,2011-03-22,退市
SZ,000583,*ST 托普,1995-11-01,2007-05-21,退市
SZ,000584,工智退,1995-11-28,2025-07-11,退市
SZ,000585,东电退,1995-12-13,2022-05-24,退市
SZ,000587,*ST金洲,1996-04-25,2023-04-03,退市
SZ,000588,PT粤金曼,1996-01-23,2001-06-16,退市
SZ,000594,国恒退,1996-03-20,2015-07-13,退市
SZ,000602,金马退市,1996-08-19,2013-08-14,退市
SZ,000606,顺利退,1996-10-04,2023-07-06,退市
SZ,000611,天首退,1996-10-08,2022-06-28,退市
SZ,000613,东海A退,1997-01-28,2022-06-29,退市
SZ,000616,*ST海投,1996-11-08,2023-08-23,退市
SZ,000618,吉化退市,1996-10-15,2006-02-20,退市
SZ,000621,*ST 比特,1996-11-05,2004-09-27,退市
SZ,000622,恒立退,1996-11-07,2025-07-16,退市
SZ,000627,*ST天茂,1996-11-12,2025-09-30,退市
SZ,000653,ST 九 州,1996-11-26,2002-09-13,退市
SZ,000658,ST 海 洋,1996-12-18,2002-09-20,退市
SZ,000660,*ST 南华,1996-12-09,2004-09-13,退市
SZ,000662,天夏退,1996-12-16,2021-04-12,退市
SZ,000666,经纬纺机,1996-12-10,2023-10-26,退市
SZ,000667,ST美置,1996-12-05,2023-07-14,退市
SZ,000671,ST阳光城,1996-12-18,2023-08-16,退市
SZ,000673,当代退,1997-01-24,2022-07-04,退市
SZ,000675,ST 银 山,1996-12-26,2002-08-20,退市
SZ,000687,华讯退,1997-02-21,2022-06-17,退市
SZ,000689,ST 宏 业,1996-12-31,2002-09-05,退市
SZ,000693,华泽退,1997-02-26,2019-07-09,退市
SZ,000699,*ST 佳纸,1997-03-10,2007-04-04,退市
SZ,000730,*ST 环保,1997-05-22,2004-09-24,退市
SZ,000732,ST泰禾,1997-07-04,2023-08-04,退市
SZ,000748,长城信息,1997-07-04,2017-01-18,退市
SZ,000760,斯太退,1997-06-27,2021-07-23,退市
SZ,000763,锦化退市,1997-09-15,2006-01-04,退市
SZ,000765,*ST 华信,1997-11-03,2005-07-04,退市
SZ,000769,*ST 大菲,1997-05-30,2005-09-21,退市
SZ,000780,ST平能,1997-06-06,2022-01-24,退市
SZ,000787,*ST 创智,1997-06-26,2013-02-08,退市
SZ,000805,*ST炎黄,1998-05-29,2013-03-27,退市
SZ,000806,银河退,1998-04-16,2023-07-06,退市
SZ,000817,辽油退市,1998-05-28,2006-01-04,退市
SZ,000827,*ST 长兴,1998-10-16,2005-09-21,退市
SZ,000832,*ST 龙涤,1998-08-25,2006-06-29,退市
SZ,000835,长动退,1999-06-25,2022-05-23,退市
SZ,000836,ST富通,1997-09-29,2024-08-12,退市
SZ,000851,*ST高鸿,1998-06-09,2025-11-11,退市
SZ,000861,海印股份,1998-10-28,2024-09-18,退市
SZ,000866,扬子退市,1998-05-12,2006-04-21,退市
SZ,000916,华北高速,1999-09-27,2017-12-25,退市
SZ,000918,*ST嘉凯,1999-07-20,2023-07-28,退市
SZ,000939,凯迪退,1999-09-23,2020-12-17,退市
SZ,000956,中原退市,1999-11-10,2006-04-21,退市
SZ,000961,ST中南,2000-03-01,2024-07-11,退市
SZ,000971,*ST高升,2000-04-27,2024-07-24,退市
SZ,000976,*ST华铁,2000-06-01,2024-08-27,退市
SZ,000979,中弘退,2000-06-16,2018-12-28,退市
SZ,000982,中银绒业,2000-07-06,2024-08-12,退市
SZ,000996,中期退,2000-07-18,2024-06-28,退市
SZ,002002,ST鸿达,2004-06-25,2024-03-18,退市
SZ,002013,中航机电,2004-07-05,2023-03-17,退市
SZ,002018,华信退,2004-07-13,2019-11-01,退市
SZ,002070,众和退,2006-10-12,2019-07-09,退市
SZ,002071,长城退,2006-10-12,2021-05-07,退市
SZ,002087,新纺退,2006-11-30,2024-06-28,退市
SZ,002089,新海退,2006-11-30,2024-04-18,退市
SZ,002113,*ST天润,2007-02-08,2023-08-11,退市
SZ,002118,*ST紫鑫,2007-03-02,2023-08-04,退市
SZ,002143,印纪退,2007-07-20,2019-11-29,退市
SZ,002147,新光退,2007-08-08,2022-06-23,退市
SZ,002220,天宝退,2008-02-28,2020-08-11,退市
SZ,002231,*ST奥维,2008-05-12,2026-03-27,退市
SZ,002260,德奥退,2008-07-16,2022-06-17,退市
SZ,002280,ST联络,2009-08-21,2024-08-16,退市
SZ,002288,*ST超华,2009-09-03,2024-08-19,退市
SZ,002308,*ST威创,2009-11-27,2024-09-27,退市
SZ,002325,*ST洪涛,2009-12-22,2024-08-15,退市
SZ,002336,人乐退,2010-01-13,2025-07-04,退市
SZ,002341,ST新纶,2010-01-22,2024-08-23,退市
SZ,002359,北讯退,2010-02-10,2021-07-23,退市
SZ,002411,必康退,2010-05-25,2023-07-12,退市
SZ,002417,深南退,2010-06-01,2023-07-10,退市
SZ,002433,太安退,2010-06-18,2024-07-05,退市
SZ,002435,ST长康,2010-06-18,2024-08-15,退市
SZ,002447,晨鑫退,2010-07-13,2022-06-27,退市
SZ,002450,康得退,2010-07-16,2021-05-31,退市
SZ,002464,众应退,2010-08-31,2022-06-28,退市
SZ,002473,圣莱退,2010-09-10,2022-06-22,退市
SZ,002477,雏鹰退,2010-09-15,2019-10-16,退市
SZ,002499,科林退,2010-11-09,2023-04-18,退市
SZ,002502,ST鼎龙,2010-11-17,2024-09-05,退市
SZ,002503,*ST搜特,2010-11-17,2023-08-11,退市
SZ,002504,*ST弘高,2010-11-18,2023-08-21,退市
SZ,002505,鹏都农牧,2010-11-18,2024-08-30,退市
SZ,002509,天茂退,2010-11-23,2020-07-20,退市
SZ,002604,龙力退,2011-07-28,2020-07-15,退市
SZ,002610,ST爱康,2011-08-15,2024-08-12,退市
SZ,002618,丹邦退,2011-09-20,2022-06-22,退市
SZ,002619,*ST艾格,2011-09-29,2022-04-28,退市
SZ,002621,*ST美吉,2011-09-29,2024-08-05,退市
SZ,002665,ST航高,2012-03-27,2024-08-26,退市
SZ,002680,长生退,2012-06-05,2019-11-27,退市
SZ,002684,猛狮退,2012-06-12,2022-06-27,退市
SZ,002699,*ST美盛,2012-09-11,2024-06-05,退市
SZ,002711,欧浦退,2014-01-27,2021-07-15,退市
SZ,002740,*ST爱迪,2015-01-22,2024-03-04,退市
SZ,002750,龙津退,2015-03-24,2025-06-27,退市
SZ,002751,易尚退,2015-04-24,2023-07-13,退市
SZ,002770,科迪退,2015-06-30,2022-06-23,退市
SZ,002776,*ST柏龙,2015-06-26,2024-01-25,退市
SZ,002781,奇信退,2015-12-22,2023-07-05,退市
SZ,200002,万  科Ｂ,1993-05-28,2014-06-19,退市
SZ,200003,PT金田Ｂ,1993-06-29,2002-06-14,退市
SZ,200013,*ST石化B,1992-05-06,2004-09-20,退市
SZ,200015,PT中浩Ｂ,1992-06-25,2001-10-25,退市
SZ,200018,神城B退,1992-06-16,2020-01-07,退市
SZ,200024,招商局Ｂ,1993-06-07,2015-12-11,退市
SZ,200039,中  集Ｂ,1994-03-23,2012-12-14,退市
