exchange,code,name,status,list_date,delist_date,industry,province
SH,600001,邯郸钢铁,退市,19980122,20091229,制造业,河北省
SH,600002,齐鲁退市,退市,19980408,20060424,其它,山东省
SH,600003,ST东北高,退市,19990810,20100226,其它,吉林省
SH,600005,武钢股份,退市,19990803,20170214,制造业,湖北省
SH,600065,*ST联 谊,退市,19970523,20071213,制造业,黑龙江省
SH,600068,葛洲坝,退市,19970526,20210913,建筑业,湖北省
SH,600069,退市银鸽,退市,19970430,20200828,制造业,河南省
SH,600070,*ST富润,退市,19970604,20250430,租赁和商务服务业,浙江省
SH,600074,退市保千,退市,19970623,20200603,制造业,江苏省
SH,600077,*ST宋都,退市,19970520,20230725,房地产业,浙江省
SH,600083,*ST博信,退市,19970606,20250305,批发和零售业,江苏省
SH,600086,退市金钰,退市,19970606,20210318,制造业,湖北省
SH,600087,退市长油,退市,19970612,20140605,交通运输、仓储和邮政业,江苏省
SH,600090,退市济堂,退市,19970616,20220707,批发和零售业,新疆维吾尔自治区
SH,600091,退市明科,退市,19970704,20220621,制造业,内蒙古自治区
SH,600092,*ST精 密,退市,19970626,20061130,制造业,陕西省
SH,600093,退市易见,退市,19970626,20220623,租赁和商务服务业,云南省
SH,600102,莱钢股份,退市,19970828,20120228,采矿业,山东省
SH,600112,*ST天成,退市,19971127,20240815,制造业,贵州省
SH,600122,*ST宏图,退市,19980420,20230626,批发和零售业,江苏省
SH,600139,*ST西源,退市,19980225,20230327,金融业,四川省
SH,600145,退市新亿,退市,19990923,20220428,制造业,新疆维吾尔自治区
SH,600146,退市环球,退市,19990707,20220630,制造业,宁夏回族自治区
SH,600175,退市美都,退市,19990408,20200817,综合,浙江省
SH,600181,*ST云 大,退市,19980928,20070601,其它,云南省
SH,600190,退市锦港,退市,19980519,20250728,交通运输、仓储和邮政业,辽宁省
SH,600190,退市锦港,退市,19990609,20250728,交通运输、仓储和邮政业,辽宁省
SH,600200,退市苏吴,退市,19990401,20251231,制造业,江苏省
SH,600205,S山东铝,退市,19990630,20070430,其它,山东省
SH,600209,退市罗顿,退市,19990325,20220622,建筑业,海南省
SH,600213,*ST亚星,退市,19990831,20241017,制造业,江苏省
SH,600220,ST阳光,退市,19990927,20240710,制造业,江苏省
SH,600225,退市卓朗,退市,20000127,20250306,信息传输、软件和信息技术服务业,天津市
SH,600240,退市华业,退市,20000628,20200206,房地产业,北京市
SH,600242,退市中昌,退市,20001207,20230629,信息传输、软件和信息技术服务业,广东省
SH,600247,*ST成城,退市,20001123,20210322,批发和零售业,吉林省
SH,600253,天方药业,退市,20001227,20130715,制造业,河南省
SH,600260,*ST凯乐,退市,20000706,20230215,制造业,湖北省
SH,600263,路桥建设,退市,20000725,20120301,其它,北京市
SH,600270,外运发展,退市,20001228,20181228,交通运输、仓储和邮政业,北京市
SH,600275,退市昌鱼,退市,20000810,20220622,制造业,湖北省
SH,600277,ST亿利,退市,20000725,20240718,制造业,内蒙古自治区
SH,600286,*ST国 瓷,退市,19991209,20070531,制造业,湖南省
SH,600290,*ST华仪,退市,20001106,20240116,制造业,浙江省
SH,600291,退市西水,退市,20000731,20220614,金融业,内蒙古自治区
SH,600296,S兰铝,退市,20000719,20070430,其它,甘肃省
SH,600297,广汇汽车,退市,20001116,20240828,批发和零售业,辽宁省
SH,600306,退市商城,退市,20001226,20240626,批发和零售业,辽宁省
SH,600311,*ST荣华,退市,20010626,20230327,采矿业,甘肃省
SH,600317,营口港,退市,20020131,20210129,交通运输、仓储和邮政业,辽宁省
SH,600321,正源股份,退市,20010524,20240627,制造业,四川省
SH,600355,*ST精伦,退市,20020613,20260427,制造业,湖北省
SH,600357,承德钒钛,退市,20020906,20091229,其它,河北省
SH,600385,退市金泰,退市,20010723,20220707,制造业,山东省
SH,600387,退市海越,退市,20040218,20250711,批发和零售业,浙江省
SH,600393,ST粤泰,退市,20010319,20230718,房地产业,广东省
SH,600401,退市海润,退市,20030924,20190715,制造业,江苏省
SH,600432,退市吉恩,退市,20030905,20180713,制造业,吉林省
SH,600462,退市九有,退市,20030903,20250721,租赁和商务服务业,湖北省
SH,600466,*ST蓝光,退市,20010212,20230606,房地产业,四川省
SH,600472,包头铝业,退市,20050509,20071226,其它,内蒙古自治区
SH,600485,*ST信威,退市,20030807,20210601,制造业,北京市
SH,600532,退市未来,退市,20021031,20230628,批发和零售业,上海市
SH,600553,太行水泥,退市,20020822,20110218,其它,河北省
SH,600555,退市海创,退市,19990118,20220714,房地产业,海南省
SH,600555,退市海创,退市,20010328,20220714,房地产业,海南省
SH,600565,ST迪马,退市,20020723,20240807,房地产业,重庆市
SH,600591,*ST上航,退市,20021011,20100125,其它,上海市
SH,600607,上实医药,退市,19920327,20100212,其它,上海市
SH,600614,退市鹏起,退市,19920728,20210722,制造业,吉林省
SH,600614,退市鹏起,退市,19920828,20210722,制造业,吉林省
SH,600625,PT水  仙,退市,19930106,20010425,制造业,上海市
SH,600625,PT水  仙,退市,19941110,20010425,制造业,上海市
SH,600627,上电股份,退市,19930118,20081126,其它,上海市
SH,600631,百联股份,退市,19930219,20110823,批发和零售业,上海市
SH,600632,华联商厦,退市,19930219,20041118,其它,上海市
SH,600634,退市富控,退市,19930304,20210722,信息传输、软件和信息技术服务业,上海市
SH,600646,ST国  嘉,退市,19930504,20030923,信息传输、软件和信息技术服务业,上海市
SH,600647,退市同达,退市,19930504,20240703,批发和零售业,上海市
SH,600652,退市游久,退市,19901219,20220621,信息传输、软件和信息技术服务业,上海市
SH,600656,退市博元,退市,19901219,20160513,批发和零售业,广东省
